osm_id,status,place_id,resolved_name,resolved_lat,resolved_lng,reason
3500244626,resolved,ChIJmSINIvi1lzMRDpwEg7pAg64,McDonald's J. Abad Santos,14.6127449,120.9767655,
3500247044,resolved,ChIJ5dE1ktwDoTMRzh6IqVsDkog,McDonald's,13.13883,123.73391,
3500253941,resolved,ChIJIwPkcSe2lzMRtLUM_mSgk3c,Yellow Cab Pizza Co.,14.6063438,121.0183316,
3500255114,low_confidence,ChIJUfA-yoy3lzMROBT8NBoEKrE,Banapple Katipunan Too,14.6184931,121.0721207,distance=5.9km>5.0km
3500255637,resolved,ChIJLRMdfvnypTMRZlI1EaQUIcs,Nestas Hilltop,11.5776195,122.7576065,
3500259530,resolved,ChIJX0XsNCa2lzMR_4sM4PYW8F0,Viv's,14.6087242,121.0211215,
3500445927,resolved,ChIJZaOlbbd5vTMRgBQvMQ77uLs,KayeRyan Grill,14.1259391,120.9805126,
3500446283,resolved,ChIJ2411MPB5vTMRzIr1XxaE5gc,Knights Ko Suites Tagaytay,14.126466,120.978067,
3500791810,resolved,ChIJV8IgMOFuqzMRnFtve7K2Fuw,Abby's (by Pinky) Coffee and Sweets,9.3091883,123.3087508,
3500824703,resolved,ChIJQRL5-N1uqzMRUnqf7J-_pWY,Cafe Filomena,9.306395,123.310005,
3502212748,resolved,ChIJw-_c3rvJlzMRfpNWcFM3-Fg,Wendy's - Phoenix Pioneer Shaw,14.5758715,121.0590864,
